Bucket,Waste Type,CDC/OIG %,Rough Amount,Notes,Reference
inpatient,Overcharge,15%,2.25B,Midpoint of OIG audit range (10-20% overpayments in hospital billing); base ~$15B inpatient spending,"https://oig.hhs.gov/reports/all/2024/medicare-remains-vulnerable-to-fraud-waste-and-abuse-related-to-off-the-shelf-orthotic-braces-which-may-result-in-improper-payments-and-impact-the-health-of-enrollees/"
inpatient,Length-of-Stay,12.5%,1.88B,Midpoint of OIG/CMS short-stay overbilling (10-15% improper); base ~$15B,"https://www.cms.gov/newsroom/fact-sheets/fiscal-year-2024-improper-payments-fact-sheet"
inpatient,Readmission,15%,2.25B,CMS penalty data suggests 12-18% waste; used midpoint; base ~$15B,"https://oig.hhs.gov/reports/all/2022/cmss-system-edits-significantly-reduced-improper-payments-to-acute-care-hospitals-after-may-2019-for-outpatient-services-provided-to-beneficiaries-who-were-inpatients-of-other-facilities/"
outpatient hospital,Unnecessary imaging,15%,3B,Midpoint of OIG range (10-20% improper imaging); base ~$20B outpatient imaging,"https://www.gao.gov/products/gao-24-107487"
outpatient hospital,Overcoded ER,10%,2B,Midpoint of OIG upcoding audits (8-12% errors); base ~$20B ER outpatient,"https://www.kff.org/medicare/medicare-program-integrity-and-efforts-to-root-out-improper-payments-fraud-waste-and-abuse/"
ER,Avoidable visit,30%,0.6B,Midpoint of IHI/CDC range (20-40% avoidable); base ~$2B ER visits,"https://www.highmark.com/employer/thought-leadership/health-insurance-cost-management/cut-fraud-waste-and-abuse-to-lower-health-care-costs"
office/clinic,Upcoding,7%,0.35B,Midpoint of CMS/OIG E/M code errors (5-9%); base ~$5B office visits,"https://pmc.ncbi.nlm.nih.gov/articles/PMC8649706/"
office/clinic,Duplicate bill,5%,0.25B,Midpoint of OIG duplicate range (4-6%); base ~$5B,"https://www.kff.org/medicaid/issue-brief/5-key-facts-about-medicaid-program-integrity-fraud-waste-abuse-and-improper-payments/"
office/clinic,Ghost patient,2%,0.1B,Midpoint of OIG fraud range (1-3%); base ~$5B,"https://oig.hhs.gov/reports/all/2024/health-care-fraud-and-abuse-control-program-report-fiscal-year-2023/"
nursing home,Overcharge,20%,0.2B,Midpoint of OIG nursing audits (15-25%); base ~$1B nursing home claims,"https://ccf.georgetown.edu/2025/01/10/the-truth-about-fraud-against-medicaid/"
nursing home,Med-error waste,15%,0.15B,Midpoint of CMS med waste (10-20%); base ~$1B,"https://www.cms.gov/fraud"
ambulatory surgery,Unnecessary,20%,0.2B,Midpoint of GAO range (15-25%); base ~$1B ambulatory procedures,"https://www.gao.gov/products/gao-24-107487"
ambulatory surgery,Duplicate,8%,0.08B,Midpoint of OIG duplicate range (6-10%); base ~$1B,"https://oig.hhs.gov/reports-and-publications/top-challenges/2015/challenge02.asp"
lab,Over-testing,15%,0.15B,Midpoint of OIG lab audit range (10-20%); base ~$1B lab claims,"https://pubmed.ncbi.nlm.nih.gov/31589283/"
home health,Unnecessary services,20%,0.22B,Midpoint of CMS range (15-25% medical necessity errors); base ~$1.1B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
home health,Insufficient documentation,30%,0.33B,Midpoint of CMS range (25-35%); base ~$1.1B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
hospice,Insufficient documentation,40%,0.74B,Midpoint of CMS range (35-45%); base ~$1.85B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
hospice,Medical necessity,12%,0.22B,Midpoint of CMS range (10-15%); base ~$1.85B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
dme,Insufficient documentation,30%,0.57B,Midpoint of CMS range (25-35%); base ~$1.9B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
dme,No documentation,20%,0.38B,Midpoint of CMS range (15-25%); base ~$1.9B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
dme,Medical necessity,8%,0.15B,Midpoint of CMS range (6-10%); base ~$1.9B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
ambulance,Insufficient documentation,40%,0.24B,Midpoint of CMS range (35-45%); base ~$0.6B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
ambulance,Medical necessity,20%,0.12B,Midpoint of CMS range (15-25%); base ~$0.6B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
inpatient rehab,Medical necessity,50%,1B,Midpoint of CMS range (40-60%); base ~$2B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
inpatient rehab,Insufficient documentation,15%,0.3B,Midpoint of CMS range (10-20%); base ~$2B,"https://www.cms.gov/files/document/2024-medicare-fee-service-supplemental-improper-payment-data.pdf"
prescription drugs,Invalid claims,3%,2.9B,Midpoint of CMS Part D range (2-5%); base ~$96.7B Part D spending,"https://www.cms.gov/newsroom/fact-sheets/fiscal-year-2024-improper-payments-fact-sheet"
skilled nursing facility,Upcoding,15%,0.45B,Midpoint of OIG range (10-20% improper billing); base ~$3B SNF claims,"https://oig.hhs.gov/oei/reports/oei-02-09-00200.pdf"
,TOTAL,,18.71B,Overall CMS improper rate: 7.66% (FY2024); waste up to 20% per JAMA/IHI; updated with avg % and SNF upcoding,"https://www.cms.gov/newsroom/fact-sheets/fiscal-year-2024-improper-payments-fact-sheet"
